ts,sIP,dIP,udp_sPort,udp_dPort,ip_proto,ip_len,chunk_index
1651792635.379816,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1385.0,11
1651792635.379879,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1385.0,11
1651792635.379879,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1385.0,11
1651792635.379879,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1385.0,11
1651792635.379879,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1385.0,11
1651792635.379879,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1385.0,11
1651792635.379879,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1385.0,11
1651792635.379932,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1385.0,11
1651792635.379933,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1385.0,11
1651792635.379933,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1385.0,11
1651792635.379933,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1385.0,11
1651792635.379933,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1385.0,11
1651792635.379993,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1385.0,11
1651792635.379994,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1385.0,11
1651792635.379994,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1385.0,11
1651792635.379994,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1385.0,11
1651792635.381688,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1385.0,11
1651792635.381691,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1385.0,11
1651792635.381691,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1385.0,11
1651792635.381804,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1385.0,11
1651792635.381805,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1385.0,11
1651792635.381805,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1385.0,11
1651792635.381805,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1385.0,11
1651792635.381805,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1385.0,11
1651792635.381805,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1385.0,11
